priser på realiserede handler	ejendomskategori	område	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	Faxe	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9122	9219	9047	9276	9862	10370	10654	11111	11190	12366	12916	13162	13408	13557	13551	14217	14199	14676	14019	13419	12727	12901	11822	12889	12669	11393	11066	11432	10731	10179	10993	10989	9348	10263	10047	9888	9674	9529	8320	8999	9786	8708	8457	9013	9213	9296	9793	9747
Første udbudspris	Parcel-/rækkehus	Guldborgsund	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5898	6321	6484	6383	6596	6873	6926	7306	7623	8445	8169	8364	8920	8959	9221	9275	9083	9108	9411	9049	9748	8809	8699	8893	8919	9028	8358	8278	8327	8298	7709	8005	7706	7625	8042	7244	7126	6898	6519	7212	6216	7676	6150	5839	6307	6540	6130	6692
Første udbudspris	Parcel-/rækkehus	Holbæk	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10214	9843	10340	10358	10604	11328	11890	11808	12416	13591	14173	14371	14886	15525	15681	15783	15276	16399	16221	16272	15939	14242	14425	14822	13855	13391	13748	12904	13774	13087	12130	12890	12012	11911	11685	11929	12337	11776	11894	11747	11215	12081	11365	11130	11294	12333	11802	11633
Første udbudspris	Ejerlejlighed	Egedal	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14972	15279	16515	16726	..	18539	17505	20859	20617	25094	25765	26140	24973	26959	23683	24541	22028	24545	24571	21784	22760	19848	20883	17335	17215	20510	20198	19344	19805	19491	19010	15364	16169	18212	17577	18053	16796	17964	16973	19559	16920	17979	18700	16779	18292	19737	20597	21091
Første udbudspris	Ejerlejlighed	Fredensborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13680	14294	13620	13940	14379	15284	16053	17172	17243	20404	20811	21810	21095	21588	21710	19489	19706	19644	18161	16893	15390	17253	14722	14281	15787	13415	13792	13662	12199	12846	12018	12679	13434	10865	15829	14532	13262	12263	12391	11477	15543	12711	21610	14368	12795	13793	14701	14561
Første udbudspris	Ejerlejlighed	Frederikssund	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14854	16290	13589	16426	16072	17510	18597	19002	21174	23684	21704	26520	25092	25127	25557	20789	24912	24695	..	23324	20496	27388	20856	22862	19129	17222	19137	16942	19167	..	18925	16920	19955	..	16837	19934	..	21259	18977	17239	17514	..	17292	16987	21583	20029	16511	17871
Første udbudspris	Ejerlejlighed	Furesø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14943	16130	17300	17028	16901	20824	19974	20844	21997	24160	24133	24624	25302	24884	24851	23364	24133	24817	23415	23036	20388	21255	21135	20962	19208	20710	19228	19483	20098	18503	17220	18069	19113	19840	17132	18547	17866	18190	19349	19498	17162	19121	18667	19949	19593	21885	20867	20416
Første udbudspris	Ejerlejlighed	Gribskov	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14673	14439	14205	15801	16092	17220	18761	17006	17499	18138	22848	21829	..	26769	26010	21388	22957	22298	19688	19743	..	21760	..	..	22924	17865	17760	20508	16054	17653	16913	15203	..	14067	13401	12744	..	11682	18565	10660	15682	..	13539	13294	16538	13346	13942	13512
Første udbudspris	Ejerlejlighed	Halsnæs	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11652	..	..	15368	15173	16337	..	18918	20886	21077	20828	22991	25384	21122	21256	20609	23632	22087	..	..	18328	20549	17730	18333	..	..	15113	13407	..	..	..	12948	..	17801	..	..	..	..	15185	14023	..	..	15921	..	14432	..	..	..
Første udbudspris	Ejerlejlighed	Helsingør	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	15244	15741	15918	15725	17085	17980	19541	21892	22304	25060	25682	25618	24481	24832	23245	22916	23023	21700	22713	20952	18811	17871	18282	17001	17894	18595	18526	18352	19892	17181	19490	15408	15982	18299	16620	15834	15525	15662	15716	15854	16609	17651	16780	18072	17323	17721	18432	17895
